starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:03:38 2016	1476342218	0	31	31	30
Thu Oct 13 09:03:39 2016	1476342219	1	30	31	30
Thu Oct 13 09:03:39 2016	1476342219	0	31	31	31
Thu Oct 13 09:03:39 2016	1476342219	0	31	31	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	32
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	32
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	32
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	32
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	1	31	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	30
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	1	31	32	31
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	31
Thu Oct 13 09:03:39 2016	1476342219	1	31	32	30
Thu Oct 13 09:03:39 2016	1476342219	0	32	32	32
Thu Oct 13 09:03:39 2016	1476342219	1	31	32	31
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	33
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	32
Thu Oct 13 09:03:39 2016	1476342219	1	32	33	31
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	33
Thu Oct 13 09:03:39 2016	1476342219	1	32	33	32
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	33
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	32
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	32
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	32
Thu Oct 13 09:03:39 2016	1476342219	0	33	33	33
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	32
Thu Oct 13 09:03:38 2016	1476342218	0	33	33	32
